product_name,overall_rating,site_category_lv1,site_category_lv2,reviewer_gender,reviewer_state,review_text
1 forma platico borracha gesso 040,Nota: nota 5,casa construcao,pisos revestimentos,m,rj,excelente produto recomendo todos parabens material
1 ka shampoo pre tratamento antiresiduos 1000ml,Nota: nota 5,beleza perfumaria,banho,f,sp,abrangi todas necessidades deixando cabelos pronto selagem
1 kit cera carnauba colorida wax color black,Nota: nota 4,automotivo,limpeza automoveis,f,rs,chegou antes prazo super recomendo bom facil passar aprovado
10 fronhas cetim anti frizz seda alto brilho branca,Nota: nota 4,cama mesa banho,travesseiros,f,sp,produto bom entrega rapida tud conforme desejado
10 lampada led 12w bulbo bivolt e27 90 economico 3000k branco quente,Nota: nota 2,casa construcao,iluminacao,m,sp,troquei lampadas anteriores 9w philips 12w ter iluminacao entanto duas 9w 12 iluminam igual antigas sao philips deficiencia novas
10 lampadas led 12w bulbo bivolt e27 90 economico 6000k,Nota: nota 5,casa construcao,iluminacao,f,pr,descrito lampadas qualidade chegou tudo certo antes prazo | produto boa qualidade recomendo entregou super rapido tres dias apos compra ja maos | nunca vou comprar caloteiro ate hoje estao enrolando nao entregam produtos americanas estao dw sacanagem comigo querendo avalie produto chegar antes natal vcs sao pior site compras planeta
100 whey combat musclepharm 907g chocolate milk,Nota: nota 1,suplementos vitaminas,massa muscular,m,pr,enviado produto sabor diferente encomendado
100 whey protein concentrado 2kg,Nota: nota 1,suplementos vitaminas,massa muscular,m,rj,produto falsificado nao optimum nutrition
100 whey protein refil 2kg baunilha,Nota: nota 4,suplementos vitaminas,massa muscular,m,sp,produto bom excelente sabor bom custo beneficio
100 whey protein refil 2kg morango,Nota: nota 1,suplementos vitaminas,massa muscular,m,sp,treino 15 anos ja tomei whey protein varias marcas concentracoes toda via nunca consumi nenhum produto denominado whey aspecto sabor deste doce arenoso gostaria saber quais ingredientes utilizados pois nao constam embalagem
1350ml kit tinta recarga cartuchos impressora hp snap,Nota: nota 4,informatica acessorios,tinta impressora,f,rs,produto veio acordo descrito bem antes prazo | tinta boa deu certinho gostei entrega chegou rapido
1358 case gaveta externa hd externo usb 20 25 polegadas sata,Nota: nota 5,informatica acessorios,cases hd,m,rn,comparando custo beneficio produto mostra bem barato qualidade produto entregue igual ate superior produto descrito
14487 tapete liso quarto sala tecido pelucia 100m x 50cm tabaco,Nota: nota 1,cama mesa banho,tapetes,f,sp,tentando entrar contato telefone nao consigo falar ninguem lojas americanas reclamando parara resolver situacao
1500 adesivos professores encoraje alunos aprender roxo,Nota: nota 2,livros importados,ciencias humanas sociais,m,mt,muinto demorado comprei pediram 14 dias 30 agora 15 affff
16613 bolsa ferramentas lona bl005 vonder,Nota: nota 5,ferramentas jardim,ferramentas manuais,m,sp,superou espectativas bom recomendo loja onde produto entregue super competentes comprarei
1ka escova inteligente selagem termica 1000ml,Nota: nota 1,beleza perfumaria,cabelo,f,sp,comprei tipo produto enviaram outro nao produto avisasse devolvesse dinheiro nao enviaram outro produto | bomchegou prazo cumpre prometido satisfeita recomendo produto
2 amortecedores traseiros classe mercedes par novo,Nota: nota 3,automotivo,autopecas,m,sp,bem atendido entrega prazo combinado recomendo compra internet
2 amortecedores traseiros monroe citroen xsara picasso todos anos 27183,Nota: nota 5,automotivo,autopecas,m,pe,amortecedores bons utilizados fabricante citroen originais fabrica vieram veiculo duraram quase oito anos
